Table 1
FUNCTION 1: NAVIGATION AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Questions,Choice B,Choice C,Choice D,Answer,
765,Your vessel is off a lee shore in heavy weather and laboring. Which action should you take?,Put the sea and wind about two points on either bow and reduce speed,Heave to in the trough of the sea,Put the sea and wind on either quarter and proceed at increase speed,Put the bow directly into the sea and proceed at full speed,A,
766,"Your vessel is port side to a pier with a spring line led aft from the bow. In calm weather, putting the engines ahead with the rudder hard left should bring __________. ",the bow in and the stern out,both the bow and stern in,the bow out and the stern in,both the bow and stern out,A,
767,Your vessel is steering a course of 216deg. psc.  Variation for the area is 9deg. West and the deviation is 2deg. East.  The wind is from East producing a 5deg. leeway.  What true course are you making good?,214deg. True,223deg. True,204deg. True,227deg. True,A,
768,Your vessel's heading is 330°pgc and 345°psc with a 2°E gyro error.  What is the deviation on this heading?,3°W,4°E,7°W,0°,A,
769,"Your vessel's heading is 330°pgc and 345°psc with a 2°E gyro error. If there is a variation of 6°W, what is the deviation on this heading?",7°W,4°E,3°W,0°,A,
770,"An icebreaker assisting a vessel through an ice field would display a visual signal consisting of the code letter ""E"" (Echo) to signify that ""__________"".",I am altering my course to starboard,My vessel is stopped and making no way through the water,I am altering my course to port,I am operating astern propulsion,A ,
771,"The broadly term describes the data, the software, and the electronic system, capable of displaying the chart information.",Electronic chart,Electronic data, C.O.E,C.E.D.D.,A ,
772,"""Head reach"", in stopping distance of vessels, can best be described as the:","speed at which a vessel should proceed to ensure that she will run a predetermined distance, once her engines have been stopped",distance the vessel has actually run between taking action to stop her and being stationary in the water,distance the vessel has actually run through the water since a change of speed has occurred,difference between the vessel's speed through the water at any instant and the new speed ordered on the telegraph,B,
773,"""PAN-PAN"" repeated three times over the radiotelephone indicates which type of message will follow? ",All clear,Urgency,Safety,Distress,B,
774,"""Reverse your engines"", what code letter does it conveys in ice breaking operations?",Papa,Hotel,Lima,November,B,
775,"""Trawling"" which means the dragging of the dredge net or other apparatus through the water is contained in:",Rule 27,Rule 26,Rule 28,Rule 29,B,
776,“Slack Away” under the LIFESAVING SIGNAL will be conveyed using:,Firing a red star at night and horizontal motion of a white light during the daytime,Firing a red star,3 red stars followed by green lanterns,"Letter “K” , then use a red flare for more clarity",B,
777,"A ""check"" line is __________. ",a safety line attached to a man working over the side,used to slow the headway of a barge,used to measure the overhead height of a bridge,used to measure water depth,B,
778,"A ""flashing light"" is a light that:",is yellow in color,flashes at regular intervals at a frequency of 120 flashes or more per minute,light that flashes to indicate distress,none of these,B,
779,"A 30-meter tug is underway and NOT towing. At night, this vessel must show sidelights and:",a stern light ONLY,one masthead light and a stern light,three masthead lights and a stern light,two masthead lights and a stern light,B,
780,A 50-meter power-driven coaster runs aground. What signal must she show?,Anchor lights and two all-round red lights transversely arranged,Anchor lights and two all-round red lights vertically disposed ,Anchor lights and three all-round lights transversely arranged,Anchor lights and three all-round lights vertically disposed ,B,
781,"A bell or a gong, or other device having similar sound characteristics and at a distance of one meter from it, shall produce a sound pressure level of:",not less than 220 dB,not less than 110 dB,at least 160 dB,not more than 210 dB,B,
782,A bollard is found on the:,beach,pier,deck,towed vessel,B,
783,A buoy having red and white vertical stripes has a light characteristic of:,group occulting,morse (A),interrupted quick flashing,quick flashing,B,
784,A call between any two ship stations on an intership working frequency shall have a maximum duration of:,2 minutes,3 minutes,4 minutes,5 minutes,B,
785,"A chart with a natural scale of 1:160,000 is classified as a:",sailing chart,general chart,coast chart,harbor chart,B,
786,"A chart with a scale of 1:45,000 is a:",coast chart,harbor chart,general chart,sailing chart,B,
787,A Coast Guard radiotelephone message about an aid to navigation that is off station is preceded by the word:,PAN-PAN,SECURITY,MAYDAY,SOS,B,
788,A common means of connecting shots of anchor chain in the field is to use a:,sprocket,kenter link,swivel,end shackle,B,
789,A computer based system for handling and integrating data from a variety of sources which is directly or indirectly specially referenced to earth.,HE,GIS,ECS,ENC,B,
790,A continuous sounding of a fog whistle by a vessel indicates that a vessel is:,requesting the draw span bridge to be opened,in distress,anchored,without engines and drifting,B,
791,A design modification of an anchor chain which prevents kinking is the ______________________.,detachable link,stud link,kenter link,connecting link,B,
