Table 1
FUNCTION 3: CONTROLLING OF OPERATION OF THE SHIP AND  CARE FOR PERSONS ON BOARD AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer,
384,"In the ship's superstructure, the vertical divisions arrange  are known as:",bulkheads,decks,floors,peaks,A,
385,"In the task of organizing a training program, basically there are three stages, which of the  following stages is NOT involved? ",Monitoring stage,Disposal stage,Discharging stage,Segregation stage,A,
386,"In towing, chocks are used to:",protect the towline from chafing,secure the end of the towline on the tug,hold and secure the anchors,secure the vessel,A,
387,"In weighing CO2 cylinders, they must be recharged if weight loss exceeds:",10% of weight of charge ,10% of weight of full bottle,15% of weight of full bottle,20% of weight of charge,A,
388,In which of the circumstances listed would a carbon dioxide fire extinguishing agent be most effective?,Within a closed space,On a magnesium fire,At a range of 15 feet,As a cooling agent,A,
389,Inflatableliferafts are provided with:  I. Towing bridle  II. A towing connectionIII. A portable radio,I and II only,III only,II and III only,"I, II and III",A,
390,Initial stability is indicated by:,GM ,KM,deck load,maximum allowed,A,
391,Initial stability of a vessel may be improved by:,any of the above,removing loose water,adding weight low in the vessel,closing crossover valves between partly filled double bottom tanks,A,
392,Initial stability refers to stability:,at small angles of inclination,when loaded with minimum deck load,when at transit draft,when GZ is zero,A,
393,Intersection of bottom and side and it may be rounded or angular in form is known as ___________.,bilge keel, bow line,head reach,girth,A,
394,It is a certain percentage of commission due to charters on the amount of freight on signing Bills of Lading.,Address commission,Charterer's commission,Freight commission,Advance freight commission ,A,
395,It is a document containing the list of cargoes laden on board the ship.,A cargo manifest,The certificate number,The certificate of inspection,The log book,A,
396,It is a kind of teaching - learning principle where the trainee must proceed step by step and each step must be in some way more difficult than the previous step.,Graduated sequence,Perceived purpose,Affective Objective  ,Cognitive Objective ,A,
397,It is a planning and result - oriented strategy where-in management clarifies its value - goals to employees or participants who simultaneously are given the opportunity to clarify their personal values and to examine whether these are compatible with those of management.,Management By Values,Management By Force,Management By Manners,Management By Attitude,A,
398,"It is a systematic application of management system policies, procedures and practices to the task of analyzing, evaluating and controlling environmental risk.",Environmental Risk Management,Environmental Aspect,Environmental Safety Procedures,Environmental Rules and Regulations,A,
399,"It is a value underlying the behavior as a Filipino where it stimulates generosity and working together, but it is often abused.",Gratitude ,Pride ,Pity,Shame ,A,
400,It is an expression that covers all damages which may be sustained by ship and/or cargo during a voyage as well as extraordinary expenses which may be incurred in a maritime adventure.,Average,General average,Overall average,Percent average,A,
401,It is an important component of pre-planning for fire emergencies is the fire control plan. Which statement is true concerning the fire control plan for a vessel? ,The fire control plan is a set of drawings for each deck of the vessel and contains information on vessel arrangements and fire suppression systems and locations of firefighting equipment.,The fire control plan is a set of written descriptions for each deck of the vessel and contains information on vessel arrangement and fire suppression systems and locations of firefighting equipment.,The fire control plan is a set of drawings for each deck of the vessel and contains information for how to extinguish a fire in a particular space.,The fire control plan is a set of written instructions and contains information for how to extinguish a fire in a particular space.,A,
402,"It is generally not advisable to drive a wedge into a crack occurring in the hull, because the wedges:",tend to open the crack,will work loose,will splinter,will pull through the plating,A,
403,It is stipulated in the STCW Code that the bridge team members must take mandatory rest period of at least _______ hours in 7 days.,70,80,90,60,A,
404,It is the ability to get things done right.,Efficiency ,Skill,Competency,Effective resource,A,
405,It is the means by which data are transmitted across the levels of the organization.,Lateral relationship,Chain command,Command hierarchy,Unity of command,A,
406,It is the measure of the internal capacity of the ship.,Gross tonnage,Net tonnage,Tonnage measurement,Compensated tonnage,A,
407,It is the principle or theory which proves that the weight of a floating object is equal to the weight of the displaced water:,Archimedes Principle,Law of buoyancy,Newton's principle,Law of gravity,A,
408,"It is worth noting that the following examples would amount to un-seaworthiness breach of duty, except:",a very young crew,A crew which is insufficiently instructed or insufficient in numbers,Out of date charts,Insufficient bunkers for the voyage,A,
409,It refers to the transverse stability of a vessel while floating in still water.,Statical stability,Heel,Trim,List,A,
410,Kind of tank that is usually constructed onboard cargo vessels used as bulkhead enclosing the stern tube and rudder trunk in a watertight compartment is:,aft peak,topside tank,forepeak,collision bulkhead,A,
411,Life preservers must be marked with the __________.,vessel's name,vessel's home port,maximum weight allowed,stowage space assigned,A,
412,Lighter longitudinal stiffening frame on the vessels side plating are called _______.,stringers,side frames,side stiffeners,intercostals,A,
