Table 1
FUNCTION 2: CARGO HANDLING AND STOWAGE AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer,
645,"You are loading in port A governed by the summer load line mark for a voyage to port B governed by the winter mark, the fresh water allowance is 10 inches, and the hydrometer reads 1.020. Which of the following statement is true?",You may not load to summer mark plus 2 inches if you will be at the winter mark when entering the winter zone.,You may not load beyond the summer mark and must be at the winter mark upon arrival at port B.,You may not load beyond the winter mark except for 2 inches brackish water allowance.,You may not load beyond the summer mark plus 8 inches brackish water allowances.,A,
646,You are on a cargo vessel carrying portable tanks of dangerous cargoes in bulk. Which statement is TRUE?,All electrical equipment within 10 feet horizontally must be explosion proof or intrinsically safe.,"If the tanks are off loaded, no more than two tanks may be lifted together in a hoist.","When transferring sulfuric acid, you must display a red flag by day whether at anchor or moored.","If the tanks are pumped out while remaining on board, each hose connection must have a minimum of three bolts.",A,
647,"You are on a multiple product tankship and carrying methyl acrylate, diethanolamine, and triethylamine. Which statement is TRUE?",The heating coils to the cargo tank loaded with methyl acrylate must be blanked off.,Methyl acrylate may be loaded in a tank adjacent to diethanolamine but not triethylamine.,Each crew member working on deck must have an emergency escape breathing apparatus.,"Valve components made of aluminum, copper, or zinc may not be in contact with the cargoes.",A,
648,"You are on a multiple-product chemical tanker and will carry cargoes of allyl alcohol, benzene, and propanolamine. Which of the following is true?",Allyl alcohol is incompatible with propanolamine but both are compatible with benzene.,All of these cargoes are mutually compatible.,Benzene may not be carried in a tank adjacent to either of the other two cargoes.,Propanolamine is compatible with allyl alcohol but must be segregated from benzene.,A,
649,"You are on a multiple-product chemical tanker and will carry cargoes of ethanolamine, methyl acrylate, and glycerine. Which statement is true?",Glycerine is compatible with both of the other cargoes.,Glycerine may be stowed adjacent to methyl acrylate but must be segregated from ethanolamine.,All of these cargoes are mutually incompatible.,Methyl acrylate and ethanolamine are compatible but both must be segregated from glycerine.,A,
650,"You are on a multiple-product chemical tanker and will carry cargoes of isophorone, ethylenediamine, and creosote. Which of the following is TRUE?",All of these cargoes are compatible.,All of these cargoes are incompatible.,Ethylenediamine is compatible with isophorone but both are incompatible with creosote.,Isophorone is incompatible with ethylenediamine but may be stowed adjacent to creosote.,A,
651,You are on a multiple-product tankship and scheduled to load a cargo classed as an aromatic amine. This cargo is incompatible with cargoes classed as __________.,organic anhydrides,phenols,ketones,esters,A,
652,"You are on a tankship discharging oil, when all the oil that the main cargo pumps can handle is pumped out of the tank, the remainder is _______.",Stripped to one tank and then pumped out from the main tank,Stripped out and pumped directly ashore after all the tanks have been emptied by the main pump.,Gravitated to the centers from the wings and pumped out with the main pump, Stripped out and pump directly ashore into the mainline as the remaining cargo tanks are pumped out with the main tanks,A,
653,"You are on a vessel in heavy seas that is listing on one side and maintaining a regular rolling period, your vessel has:",the center of gravity off the centerline,a list that can be corrected by reducing the KM,a negative GM,damage stability,A,
654,You are preparing to load a heavy cargo with abnormal physical dimensions onboard your vessel. Which of the following is of primary importance when planning the load?,Ensuring the maintenance of adequate stability throughout the voyage,Comparing the broken stowage factor of the unit to other cargo in the hold,Comparing how much cargo can be loaded on top of the abnormal units,Ensuring the proper customs forms and labels are on the units,A,
655,You are to load a bagged cargo in the lower hold of a shipped equipped with side bilges. The first layer of dunnage should be laid down ________:,"at an angle to the keel, with the forward end inboard",in a fore and aft pattern,at an angle to the keel with the forward end outboard,diagonally across the entire hold,A,
656,You could expect free surface effects to _____ as the vessels inclination is increased due to pocketing.,Decrease,increase,remain the same,be undeterminable,A,
657,"You have orders to load cargoes of carbon disulfide, disopropylamine and pyridine on your multi product tanks. Which statement is TRUE?"," Disopropylamine must be separated from carbon disulfide by two barriers (cofferdam, voids, empty tanks, etc.)",Carbon disulfide must be carried in nos. 1 and 2 center tanks and disopropylamine in nos. 1 and 2 wing tanks,Pyridine and disopropylamine may be carried in tanks having a common header vent,A tank of carbon disulfide may be used to separate a tank of pyridine from a tank  of disopropylamine.,A,
658,You must shore up a bulkhead due to solid flooding forward. The bulkhead approximates a rectangle. The center of pressure of the shores on the bulkhead should be located:, approximately halfway up the bulkhead, approximately one-third of the way up the bulkhead, at the bottom of the bulkhead, evenly over the surface of the bulkhead,A,
659,You would carry a marine pollutant cargo where stowage is permitted “On deck only”. Where would you stow this?, all selections are acceptable,on well protected decks, on secured cargo spaces on deck, on sheltered areas of protected,A,
660,"Your ship 12,000 tons displacement has a center of gravity 21.5 ft above the keel. You run aground and estimate the weight aground is 2,500 tons. The virtual rise in the center of gravity is _______.",5.66,1.26,3.80,4.80,A,
661,"Your ship is carrying hazardous cargo. During a daily inspection, you notice that some of the cargo has shifted and several cases are broken. You should FIRST _______.","report the facts immediately to the master, who will make a decision", call out the deck gang to jettison the cargo,"make a determination of the seriousness of the breakage, and do what you think best",log the facts in the rough and inform the Chief mate later,A,
662,"Your tanker vessel is fully loaded, and you find that she is down slightly by the head. To adjust the trim, you may_________",Shift bunkers opposite the direction of the trim,Add ballast aft to compensate for the trim,Load more cargo in the after tanks of the vessel with care,"Shift cargoes aft of the NO. 1 COT, but not beyond halfway of the vessel to avoid too much longitudinal stress",A,
663,Your vessel displaces 869 tons and measures 135'L x 33'B. Your ship has large wave on the after deck which measures 52'L x 33'B. The weight of the water is estimated at 52.8 tons. What is the reduction in GM due to free surface before the water drains overboard?,4.83 ft.,5.12 ft.,5.46 ft.,5.85 ft.,A,
